camber_bolt_pos,caster_bolt_pos,camber_lock_left_deg,camber_center_deg,camber_lock_right_deg,toe_mm
2,1,3.28,-0.88,-2.62,
2,2,3.7,-0.76,-2.88,
2,3,4.12,-0.64,-3.14,
2,4,4.54,-0.52,-3.4,
2,5,4.96,-0.4,-3.66,
2,6,5.38,-0.28,-3.92,
3,-6,-0.38,-2.22,-2.52,
3,-5,0.04,-2.1,-2.4,
3,-4,0.46,-1.98,-2.28,
3,-3,0.88,-1.86,-2.16,
3,-2,1.3,-1.74,-2.07,
3,-1,1.72,-1.62,-2.33,
3,0,2.14,-1.5,-2.59,
3,1,2.56,-1.38,-2.85,
3,2,2.98,-1.26,-3.11,
3,3,3.4,-1.14,-3.37,
3,4,3.82,-1.02,-3.63,
3,5,4.24,-0.9,-3.89,
3,6,4.66,-0.78,-4.15,
4,-6,-1.1,-2.72,-3.02,
4,-5,-0.68,-2.6,-2.9,
4,-4,-0.26,-2.48,-2.78,
4,-3,0.16,-2.36,-2.66,
4,-2,0.58,-2.24,-2.54,
4,-1,1,-2.12,-2.56,
4,0,1.42,-2,-2.82,
4,1,1.84,-1.88,-3.08,
4,2,2.26,-1.76,-3.34,
4,3,2.68,-1.64,-3.6,
4,4,3.1,-1.52,-3.86,
4,5,3.52,-1.4,-4.12,
4,6,3.94,-1.28,-4.38,
5,-6,-1.82,-3.22,-3.52,
5,-5,-1.4,-3.1,-3.4,
5,-4,-0.98,-2.98,-3.28,
5,-3,-0.56,-2.86,-3.16,
5,-2,-0.14,-2.74,-3.04,
5,-1,0.28,-2.62,-2.92,
5,0,0.7,-2.5,-3.05,
5,1,1.12,-2.38,-3.31,
5,2,1.54,-2.26,-3.57,
5,3,1.96,-2.14,-3.83,
5,4,2.38,-2.02,-4.09,
5,5,2.8,-1.9,-4.35,
5,6,3.22,-1.78,-4.61,
6,-6,-2.54,-3.72,-4.02,
6,-5,-2.12,-3.6,-3.9,
6,-4,-1.7,-3.48,-3.78,
6,-3,-1.28,-3.36,-3.66,
6,-2,-0.86,-3.24,-3.54,
6,-1,-0.44,-3.12,-3.42,
6,0,-0.02,-3,-3.3,
6,1,0.4,-2.88,-3.54,
6,2,0.82,-2.76,-3.8,
6,3,1.24,-2.64,-4.06,
6,4,1.66,-2.52,-4.32,
6,5,2.08,-2.4,-4.58,
6,6,2.5,-2.28,-4.84,
